"Organization - Name","Organization - Labels","Organization - Country of Address","Organization - Website","Organization - LinkedIn profile","Organization - Industry","Organization - Annual revenue","Organization - Number of employees","Organization - Company Website (Lead CRM)","Organization - ID","Organization - People","Organization - Next activity date","Organization - Last activity date","Organization - Done activities","Organization - Activities to do","Organization - Email messages count","Organization - Profile picture","Organization - Address","Organization - Snitcher Total sessions","Organization - Snitcher Total page views","Organization - Snitcher Total time on site","Organization - Snitcher Segments","Organization - Snitcher Tags","Organization - Snitcher First visit date","Organization - Snitcher Last visit date","Organization - View in Dealfront","Organization - Latest visit","Organization - Industry","Organization - LinkedIn URL","Organization - Phone","Organization - Number of Employees","Organization - Year Founded","Organization - Total Funding","Organization - Description","Organization - Twitter URL"
"Dave","","United States","dave.com","https://linkedin.com/company/dave-com","","","","","928","1","","","0","0","0","","South Cochran Avenue, 90019, California, Los Angeles, United States","","","","","","","","","","","","","","","","",""
"Pair Finance","","Germany","pairfinance.com","https://linkedin.com/company/pair-finance","","","","","929","1","","","0","0","0","","Knesebeckstrasse 62-63, 10719, Berlin, Berlin, Germany","","","","","","","","","","","","","","","","",""
"Geomiq","","","","","","","","","930","1","","","0","0","0","","London, England, United Kingdom","","","","","","","","","","","","","","","","",""
"Juba Express Money Transfer","","","","","","","","","931","1","","","0","0","0","","Kinshasa, Kinshasa, Congo","","","","","","","","","","","","","","","","",""
"Medica Group","","","","","","","","","932","1","","","0","0","0","","Hastings, England, United Kingdom","","","","","","","","","","","","","","","","",""
"Ambu Ltd. - United Kingdom & Ireland","","","","","","","","","933","1","","","0","0","0","","St Ives, England, United Kingdom","","","","","","","","","","","","","","","","",""
"Primis Mortgage Network","","","","","","","","","934","3","","","0","0","0","","Sutton, England, United Kingdom","","","","","","","","","","","","","","","","",""
"Ewopharma","","","","","","","","","935","1","","","0","0","0","","Warsaw, Mazovia, Poland","","","","","","","","","","","","","","","","",""
"Amicorp FS PLC","","","","","","","","","936","1","","","0","0","0","","Bengaluru, Karnataka, India","","","","","","","","","","","","","","","","",""
"HANSAINVEST Hanseatische Investment-GmbH","","","","","","","","","937","1","","","0","0","0","","Germany","","","","","","","","","","","","","","","","",""
"J O Hambro Capital Management","","","","","","","","","938","1","","","0","0","0","","Colchester, England, United Kingdom","","","","","","","","","","","","","","","","",""
"Synecore Limited","","","","","","","","","939","1","","","0","0","0","","Sittingbourne, England, United Kingdom","","","","","","","","","","","","","","","","",""
"KPMG Ireland","","Ireland","kpmg.ie","https://linkedin.com/company/409624","","","","","940","1","","","0","0","0","","1 Stokes Place, St. Stephen's Green,, Dublin, Dublin 2, Ireland","","","","","","","","","","","","","","","","",""
"Hiscox Ireland","","Ireland","hiscox.ie","https://linkedin.com/company/68358691","","","","","941","1","","","0","0","0","","7-11 Sir John Rogerson's Quay, 2, County Dublin, Dublin 2, Ireland","","","","","","","","","","","","","","","","",""
"Abbots Care Dorset","","","","","","","","","943","1","","","0","0","0","","St Albans, England, United Kingdom","","","","","","","","","","","","","","","","",""
"Harpenden Building Society","","","","","","","","","944","1","","","0","0","0","","Stourbridge, England, United Kingdom","","","","","","","","","","","","","","","","",""
"Optimal Living","","","","","","","","","945","1","","","0","0","0","","Sutton, England, United Kingdom","","","","","","","","","","","","","","","","",""
"Prestige Nursing & Care","","","","","","","","","946","1","","","0","0","0","","Ladybank, Scotland, United Kingdom","","","","","","","","","","","","","","","","",""
"Doverie - Pension Assurance","","","","","","","","","947","1","","","0","0","0","","Bulgaria","","","","","","","","","","","","","","","","",""
"Platinum Ambulance Service","","","","","","","","","948","1","","","0","0","0","","Worthing, England, United Kingdom","","","","","","","","","","","","","","","","",""
"HFMC Wealth","","","","","","","","","949","1","","","0","0","0","","London, England, United Kingdom","","","","","","","","","","","","","","","","",""
"ST&R Limited","","","","","","","","","950","1","","","0","0","0","","Calgary, Alberta, Canada","","","","","","","","","","","","","","","","",""
"NeuroAria","","","","","","","","","951","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Fidenz Tech AS","","","","","","","","","952","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Interhuman AI","","","","","","","","","953","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Stape","","","","","","","","","954","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Digital Samba, SL","","","","","","","","","955","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Monnet","","","","","","","","","956","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Staaake","","","","","","","","","957","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Efisco","","","","","","","","","958","0","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"RV","","","","","","","","","959","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"75way Technologies Pvt. Ltd.","","","","","","","","","960","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Moxelle","","","","","","","","","961","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"UpNext Global","","","","","","","","","963","0","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"finboo.io","","","","","","","","","964","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"DemoHAL","","","","","","","","","965","0","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Mentu","","","","","","","","","966","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Itera Research, InaMesh","","","","","","","","","967","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Flywheel Strategy","","","","","","","","","968","1","","","0","0","2","","","","","","","","","","","","","","","","","","",""
"Ascolta","","","","","","","","","969","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"AstroLabs","","","","","","","","","970","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Humas System","","","","","","","","","971","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Authentic Speaker Lab","","","","","","","","","972","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Mega Hits","","","","","","","","","973","0","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"KaranovicPartners","","","","","","","","","974","0","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Omix Health","","","","","","","","","975","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"VOXA","","","","","","","","","976","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"ProcessPlot","","","","","","","","","977","0","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"PlantIn app","","","","","","","","","978","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"psy.agency","","","","","","","","","979","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Skrivanek Baltic","","","","","","","","","980","0","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"SAB Comunicar","","","","","","","","","981","0","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Communications Office, Government of Qatar","","","","","","","","","982","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Radical Ledger Technologies","","","","","","","","","983","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"INXY Payments","","","","","","","","","984","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Heroic Rankings","","","","","","","","","985","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Independent Media Consultant","","","","","","","","","986","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Doprax","","","","","","","","","987","0","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Eight Advisory","","","","","","","","","988","0","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"SXSW London","","","","","","","","","989","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Bildungswerk der Wirtschaft MV e.V.","","","","","","","","","990","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Enso","","","","","","","","","991","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"MY DATA MANAGER","","","","","","","","","992","0","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Independent Consultant","","","","","","","","","993","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"CTO2B","","","","","","","","","994","0","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Altaclub LLC","","","","","","","","","995","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Clarity Locums","","","","","","","","","996","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Kilo Grupe","","","","","","","","","997","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Public Cloud Group","","","","","","","","","998","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"CISSE","","","","","","","","","999","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Self-employed","","","","","","","","","1000","2","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Complear","","","","","","","","","1001","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"RISKREVO","","","","","","","","","1002","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Grupo ETE","","","","","","","","","1003","1","","","0","0","3","","","","","","","","","","","","","","","","","","",""
"Cyber Simplifier","","","","","","","","","1004","2","","","0","0","2","","","","","","","","","","","","","","","","","","",""
"De Novo Solutions","","","","","","","","","1005","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Rangel Logistics","","","","","","","","","1006","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"AF","","","","","","","","","1007","0","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Zurich","","","","","","","","","1008","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Relativity","","","","","","","","","1009","1","","","0","0","2","","","","","","","","","","","","","","","","","","",""
"WTW","","","","","","","","","1010","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"CEE Attorneys","","","","","","","","","1011","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Accredital","","","","","","","","","1012","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Cyber Story","","","","","","","","","1013","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Boxfish Labs","","","","","","","","","1014","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Nordea","","","","","","","","","1015","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Maersk","","","","","","","","","1016","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Pretera","","","","","","","","","1017","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Version 1","","","","","","","","","1018","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"CXO European C-Level Networking","","","","","","","","","1019","1","","","0","0","2","","","","","","","","","","","","","","","","","","",""
"Risk","","","","","","","","","1020","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Fidelidade","","","","","","","","","1021","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Blog Midiaria.com","","","","","","","","","1022","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Private Equity Venture Capital","","","","","","","","","1023","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Qatar Development Bank","","","","","","","","","1024","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
